gid,estado,cidade,via,hnum,nsvia,latitude,longitude,postcode
787,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,2007,VILLAS DE LA UNIVERSIDAD,21.899154413816923,-102.30478878060745,20029
788,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,2005,VILLAS DE LA UNIVERSIDAD,21.899180345486013,-102.30469557084294,20029
789,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,2003,VILLAS DE LA UNIVERSIDAD,21.899202125571527,-102.30461728350197,20029
790,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,112,VILLAS DE LA UNIVERSIDAD,21.898796669256186,-102.30448557544365,20029
791,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,110,VILLAS DE LA UNIVERSIDAD,21.89877495187977,-102.3045684201894,20029
792,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,108A,VILLAS DE LA UNIVERSIDAD,21.89874937377027,-102.30466599212718,20029
793,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,108,VILLAS DE LA UNIVERSIDAD,21.898728566033586,-102.30474536648623,20029
794,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,106,VILLAS DE LA UNIVERSIDAD,21.898707006118137,-102.30482760995821,20029
795,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,SN,VILLAS DE LA UNIVERSIDAD,21.898685892273267,-102.30490814485435,20029
796,Aguascalientes,Aguascalientes,CALLE LICENCIADO GUILLERMO H. MIRAMONTES,1507A,VILLAS DE LA UNIVERSIDAD,21.898648154120483,-102.30505206822038,20029
797,Aguascalientes,Aguascalientes,AVENIDA UNIVERSIDAD,SN,VILLAS DE LA UNIVERSIDAD,21.89863358921044,-102.30519716132986,20029
798,Aguascalientes,Aguascalientes,AVENIDA UNIVERSIDAD,1509,VILLAS DE LA UNIVERSIDAD,21.898871620942252,-102.305325034831,20029
799,Aguascalientes,Aguascalientes,CALLE ABEDUL,SN,LAS ARBOLEDAS,21.900400978334826,-102.30530556847853,20029
800,Aguascalientes,Aguascalientes,AVENIDA CANAL INTERCEPTOR,SN,LAS ARBOLEDAS,21.902660727436746,-102.30599762050782,20020
801,Aguascalientes,Aguascalientes,AVENIDA CANAL INTERCEPTOR,SN,LAS ARBOLEDAS,21.902667826831703,-102.30588597858969,20020
802,Aguascalientes,Aguascalientes,AVENIDA CANAL INTERCEPTOR,309,LAS ARBOLEDAS,21.90267785559276,-102.30572826857426,20020
803,Aguascalientes,Aguascalientes,CALLE PIRACANTO,454,LAS ARBOLEDAS,21.902574451639985,-102.30562768825571,20020
804,Aguascalientes,Aguascalientes,CALLE PIRACANTO,452,LAS ARBOLEDAS,21.90247399186755,-102.305596218452,20020
805,Aguascalientes,Aguascalientes,CALLE PIRACANTO,450,LAS ARBOLEDAS,21.90239861173507,-102.3055726050718,20020
806,Aguascalientes,Aguascalientes,CALLE PIRACANTO,446,LAS ARBOLEDAS,21.90228644341757,-102.30553746757255,20020
807,Aguascalientes,Aguascalientes,CALLE PIRACANTO,446A,LAS ARBOLEDAS,21.90212163289457,-102.30548583964801,20020
808,Aguascalientes,Aguascalientes,CALLE PIRACANTO,444,LAS ARBOLEDAS,21.90197562663339,-102.30544010238387,20020
809,Aguascalientes,Aguascalientes,CALLE PIRACANTO,440,LAS ARBOLEDAS,21.90187411282517,-102.30540830268514,20020
810,Aguascalientes,Aguascalientes,CALLE PIRACANTO,438,LAS ARBOLEDAS,21.901784378158993,-102.30538019290132,20020
811,Aguascalientes,Aguascalientes,CALLE PIRACANTO,436,LAS ARBOLEDAS,21.90169063921942,-102.30535082880202,20020
812,Aguascalientes,Aguascalientes,CALLE PIRACANTO,434,LAS ARBOLEDAS,21.90162092590547,-102.30532899085358,20020
813,Aguascalientes,Aguascalientes,CALLE PIRACANTO,SN,LAS ARBOLEDAS,21.901566012589825,-102.3053117890746,20020
814,Aguascalientes,Aguascalientes,CALLE PIRACANTO,430,LAS ARBOLEDAS,21.90149501158492,-102.30528954779466,20020
815,Aguascalientes,Aguascalientes,CALLE PIRACANTO,428,LAS ARBOLEDAS,21.901427031433016,-102.30526825282858,20020
816,Aguascalientes,Aguascalientes,CALLE PIRACANTO,426,LAS ARBOLEDAS,21.901369401531674,-102.3052502001237,20020
817,Aguascalientes,Aguascalientes,CALLE PIRACANTO,424,LAS ARBOLEDAS,21.90130912564931,-102.3052313185758,20020
818,Aguascalientes,Aguascalientes,CALLE PIRACANTO,422,LAS ARBOLEDAS,21.90125685830934,-102.3052149457348,20020
819,Aguascalientes,Aguascalientes,CALLE PIRACANTO,420,LAS ARBOLEDAS,21.90121032840622,-102.30520037016747,20020
820,Aguascalientes,Aguascalientes,CALLE PIRACANTO,418,LAS ARBOLEDAS,21.90115103593854,-102.30518179672113,20020
821,Aguascalientes,Aguascalientes,CALLE PIRACANTO,416,LAS ARBOLEDAS,21.901102468596754,-102.30516658294756,20020
822,Aguascalientes,Aguascalientes,CALLE PIRACANTO,SN,LAS ARBOLEDAS,21.901056242963236,-102.30515210272713,20020
823,Aguascalientes,Aguascalientes,CALLE PIRACANTO,414,LAS ARBOLEDAS,21.90100404622254,-102.30513575206437,20020
824,Aguascalientes,Aguascalientes,CALLE PIRACANTO,410,LAS ARBOLEDAS,21.90096582913183,-102.3051237805442,20020
825,Aguascalientes,Aguascalientes,CALLE PIRACANTO,408,LAS ARBOLEDAS,21.900914920078744,-102.3051078332722,20020
826,Aguascalientes,Aguascalientes,CALLE PIRACANTO,406,LAS ARBOLEDAS,21.900849281625344,-102.30508727203052,20020
827,Aguascalientes,Aguascalientes,CALLE PIRACANTO,404,LAS ARBOLEDAS,21.900814460262183,-102.30507636424888,20020
828,Aguascalientes,Aguascalientes,CALLE PIRACANTO,402,LAS ARBOLEDAS,21.900749500952898,-102.30505601578004,20020
829,Aguascalientes,Aguascalientes,CALLE ABEDUL,1002,LAS ARBOLEDAS,21.90054211487388,-102.3050399326237,20020
830,Aguascalientes,Aguascalientes,CALLE ABEDUL,SN,LAS ARBOLEDAS,21.900513444138298,-102.30513373436548,20029
831,Aguascalientes,Aguascalientes,CALLE ABEDUL,1006B,LAS ARBOLEDAS,21.900488835108373,-102.30524667414993,20029
832,Aguascalientes,Aguascalientes,CALLE ABEDUL,SN,LAS ARBOLEDAS,21.900486532766983,-102.30532574380614,20029
833,Aguascalientes,Aguascalientes,CALLE INGENIERO AGUSTÍN YÁÑEZ,101,LAS ARBOLEDAS,21.90063915687006,-102.3054315235196,20020
834,Aguascalientes,Aguascalientes,CALLE INGENIERO AGUSTÍN YÁÑEZ,103,LAS ARBOLEDAS,21.900714020708545,-102.30545416212082,20020
835,Aguascalientes,Aguascalientes,CALLE INGENIERO AGUSTÍN YÁÑEZ,SN,LAS ARBOLEDAS,21.900767414419654,-102.30547030823534,20020
836,Aguascalientes,Aguascalientes,CALLE INGENIERO AGUSTÍN YÁÑEZ,107,LAS ARBOLEDAS,21.90079933800415,-102.30547996184761,20020
837,Aguascalientes,Aguascalientes,CALLE INGENIERO AGUSTÍN YÁÑEZ,109,LAS ARBOLEDAS,21.90087250653109,-102.30550208784513,20020
838,Aguascalientes,Aguascalientes,CALLE INGENIERO AGUSTÍN YÁÑEZ,SN,LAS ARBOLEDAS,21.900946052423354,-102.30552432798181,20020
